game_date,game_id,play_id,classification,gt_outcome,model_call,prob,correct
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,d7024318-d199-4828-b92c-f1e80277239b,FG_MAKE,MAKE,MAKE,0.6066215567985468,True
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,947cbd11-6b40-4363-ad0f-ee4b40f5bc0e,4PT_MAKE,MAKE,MAKE,0.6076230342752407,True
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,55cba249-cfe8-4d90-b211-bf64ccd8e8e4,FG_MAKE,MAKE,MAKE,0.6152444768296348,True
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,a7141c9a-8d84-4fee-95a6-ee24265a1a20,FG_MAKE,MAKE,MAKE,0.6189763017280286,True
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,f8610787-c666-4a2f-88aa-93ba31c66630,FG_MAKE,MAKE,MAKE,0.6299711109416786,True
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,38b51ae9-4a8b-4e56-8fd0-736ffc918b75,FREE_THROW_MAKE,MAKE,MAKE,0.6582846160121182,True
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,ff528f3c-6402-4393-9fed-22c6f3a03529,4PT_MAKE,MAKE,MAKE,0.6643487718722544,True
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,993c577c-0d86-4d05-8acc-86ceba0a1d68,FG_MAKE,MAKE,MAKE,0.6648075867554942,True
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,7ee390eb-a3c0-4400-921b-8b22e090bdda,4PT_MAKE,MAKE,MAKE,0.678942045547604,True
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,a1b6a1b0-a195-4f6a-a244-7a56c72b1744,FG_MISS,MISS,MAKE,0.6905025958110041,False
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,0440e3d6-f55c-4b7b-bb4b-6f2d97b8e521,FREE_THROW_MAKE,MAKE,MAKE,0.6922351637090624,True
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,22ad8cb2-bd7f-4718-be1c-1c08e7e091c3,FREE_THROW_MAKE,MAKE,MAKE,0.6924726364464582,True
