game_date,game_id,play_id,classification,gt_outcome,model_call,confidence,prob,correct,model_cries,error_class,frac_inside_rim_max,through_hoop_conf_max,g_far_dmin,g_near_inside
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,1e09dc5c-1099-4d88-86fb-a5b2a0bd0091,FG_MISS,MISS,MAKE,0.784,0.7840874181553047,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.1896551724137931,0.6604559073845545,2.7294114861981478,0.1896551724137931
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,e1ac9385-2d28-4444-b4b2-4a5589a4ed11,FG_MISS,MISS,MAKE,0.769,0.76857895825318,False,False,Rim-grazer FP (ambiguous),0.023622047244094488,0.8936185836791992,2.5602669018214037,0.023622047244094488
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,6c9e829f-1a7a-4e3e-9d07-b750a82207f2,3PT_MISS,MISS,MAKE,0.719,0.7185407884051115,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.09774436090225563,0.4174070805311203,3.3881142873520393,0.06870229007633588
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,2c908588-8c5a-40be-bffa-5c944b49e3fc,FG_MISS,MISS,MAKE,0.716,0.7159193206552612,False,False,Rim-grazer FP (ambiguous),0.02702702702702703,0.5627570450305939,2.8442050950239084,0.02702702702702703
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,4cbb9e75-c241-4cab-83ed-6810a14290ea,FG_MISS,MISS,MAKE,0.704,0.7035775261531898,False,False,DEPTH-ILLUSION (near-cam parallax; needs break-beam sensor),0.06349206349206349,0.6524985581636429,3.490030973990674,0.05555555555555555
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,a1b6a1b0-a195-4f6a-a244-7a56c72b1744,FG_MISS,MISS,MAKE,0.691,0.6905025958110041,False,True,Rim-grazer FP (ambiguous),0.2222222222222222,0.5488588958978653,2.2883329847873095,0.20930232558139536
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,2a6a4c75-fcab-4f69-80ad-a2e9db412834,FG_MISS,MISS,MAKE,0.563,0.5632767138444504,False,True,Rim-grazer FP (ambiguous),0.17088607594936708,0.5792922377586365,1.037293196786319,0.17419354838709677
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,8fcf29a5-4c55-4aa0-8415-76ffcf07f2a5,FG_MISS,MISS,MAKE,0.554,0.5541088948135761,False,True,Rim-grazer FP (ambiguous),0.18867924528301888,0.7187368869781494,1.6426381872880964,0.18446601941747573
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,8f66fee7-d569-4f09-8d35-571af8561166,4PT_MAKE,MAKE,MISS,0.489,0.5107243913134965,False,True,Swish miss-read (ball passed too fast for 30fps),0.14705882352941177,0.5138004794716835,0.8676720708506694,0.01694915254237288
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,50347b79-f45a-4749-a87f-c464948a74dc,FREE_THROW_MAKE,MAKE,MISS,0.492,0.5079789771454426,False,True,FN (weak/occluded ball signal),0.20967741935483872,0.5492903490861257,2.0258275092718954,0.18333333333333332
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,81e1031f-ac3a-4c87-b571-3545935213fa,3PT_MAKE,MAKE,MISS,0.492,0.5075730373338126,False,True,Swish miss-read (ball passed too fast for 30fps),0.12,0.5183367878198624,3.067663279100132,0.14
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,710f9fc6-7f8a-4cfb-9df2-cf40496a4779,FG_MAKE,MAKE,MISS,0.531,0.4685525229194916,False,True,FN (weak/occluded ball signal),0.1891891891891892,0.6717344708740711,6.5756609499499765,0.16
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,ae0b700b-a420-49f9-b820-4c884be8b4f4,3PT_MAKE,MAKE,MISS,0.537,0.4629314646260956,False,True,Swish miss-read (ball passed too fast for 30fps),0.054878048780487805,0.9011682271957397,1.0835805200094835,0.054878048780487805
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,18b5f2cf-329f-4c25-b315-bd57b24c6e35,FG_MAKE,MAKE,MISS,0.58,0.4198680152985763,False,True,Swish miss-read (ball passed too fast for 30fps),0.12037037037037036,0.9086862504482269,3.1508161220001223,0.04
2026-04-18,6d601c99-9173-445f-a647-dadbb152fe96,0377cf2e-a25f-4a42-8166-9285e85c5ead,3PT_MAKE,MAKE,MISS,0.634,0.36558245831608654,False,False,Swish miss-read (ball passed too fast for 30fps),0.10526315789473684,0.5680305163065592,3.2597177080935817,0.0594059405940594
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,80ce264f-f83c-4f23-89e3-7d3e1b9b646c,4PT_MAKE,MAKE,MISS,0.643,0.3567343945120413,False,False,Swish miss-read (ball passed too fast for 30fps),0.038461538461538464,0.6543956026434898,1.0726561384968287,0.038461538461538464
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,a7daca9e-9b82-4a4e-8ddc-579039836396,4PT_MAKE,MAKE,MISS,0.793,0.20737483886803895,False,False,FN (weak/occluded ball signal),0.17708333333333334,0.8785650730133057,2.821765908238648,0.11235955056179775
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,0821bab9-afba-47f1-b7a8-ebead31ec251,FG_MAKE,MAKE,MISS,0.809,0.19143308138761994,False,False,Swish miss-read (ball passed too fast for 30fps),0.07547169811320754,0.5425483584403992,2.958160051187618,0.07547169811320754
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,5d6a909b-8615-443d-8762-ae195e8e61b6,4PT_MAKE,MAKE,MISS,0.885,0.1146355391305975,False,False,Swish miss-read (ball passed too fast for 30fps),0.05555555555555555,0.9008887708187103,4.955664231987269,0.05555555555555555
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,f7dcc3fc-6141-41e6-8ab9-5909265abeaa,4PT_MAKE,MAKE,MISS,0.913,0.08707131076986861,False,False,Swish miss-read (ball passed too fast for 30fps),0.11398963730569948,0.6186699569225311,2.9954098644559766,0.09497206703910614
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,8d68d407-039a-45f9-9462-2ec4f6bb4f59,FG_MAKE,MAKE,MISS,0.921,0.07910753812514539,False,False,Swish miss-read (ball passed too fast for 30fps),0.05384615384615385,0.8336366415023804,2.072866150459456,0.05042016806722689
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,18fe6024-8937-40c6-80fa-e75414fb6de0,FG_MAKE,MAKE,MISS,0.933,0.06662914976618674,False,False,Swish miss-read (ball passed too fast for 30fps),0.13333333333333333,0.8872706443071365,2.1164217855861764,0.04081632653061224
2026-03-19,c2a354fe-eb34-4980-af00-8f5ff6b00143,d60e9ccf-1a79-40b7-bad4-75e8082978ff,3PT_MAKE,MAKE,MISS,0.949,0.050833623255093385,False,False,Swish miss-read (ball passed too fast for 30fps),0.056910569105691054,0.8786994516849518,3.7336183286575406,0.04310344827586207
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,ebf4ad10-a3b8-4fa5-b077-f4016f373cd1,FG_MAKE,MAKE,MISS,0.953,0.04711352339769765,False,False,Swish miss-read (ball passed too fast for 30fps),0.0472972972972973,0.6472335159778595,3.137386996428223,0.02112676056338028
2026-04-16,ee8745f1-863f-47cf-a43d-d90c58cc9bb2,91169665-de4a-438a-ab20-ac76b5ca723a,3PT_MAKE,MAKE,MISS,0.973,0.026521204977404702,False,False,FN (weak/occluded ball signal),0.009174311926605505,0.0,3.0530069957041848,0.009259259259259259
